	wavfile	start_seconds	start_frames	end_seconds	end_frames	identifier	inferred_text_with_hotwords	inferred_text_without_hotwords	motherfile	dist
0	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2018032602/001_2018032602.wav	0.0	0	29.75	1311975	000_2018032602	de ad we move on quickly to the next point which is now quite late so thank you to those colleagues who have been waiting patiently for this point which i ll just ill just move on which is point six ad this is the fifth report of the standing committee on operational cooperation on internal security causy ad here for those who are listening in on this point	men we move on quickly to the next point which is now quite late so thank you to those colleagues who have been waiting patiently for this point which i ll just ill just move on which is point six and this is the fifth report of the standing committee on operational cooperation on internal security causy and here for those who are listening in on this point	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2018032602.wav	6
1	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2018032602/002_2018032602.wav	29.75002267573696	1311976	57.10002267573696	2518111	001_2018032602	the council submitted the report in accordance with article seventy one of the treaty and article six two of the council decision establishing cosy last december ad president the report aims informing parliament the european parliament giving an overview on cases proceedings covering the period january to un january two thousand and sixteen to during two thousand and seventeen and it also includes	the council submitted the report in accordance with article seventy one of the treaty and article six two of the council decision establishing cosy last december president the report aims informing parliament the european parliament giving an overview on cases proceedings covering the period january to ur january two thousand and sixteen to during two thousand and seventeen and it also includes	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2018032602.wav	4
2	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2018032602/003_2018032602.wav	57.10004535147392	2518112	75.65004535147392	3336167	002_2018032602	a pre view on the policy cycle two thousand and eighteen to two thousand and twenty one and we have to make the presentation is mrs sitarska from the bulgarian presidency	a pre view on the policy cycle two thousand and eighteen to two thousand and twenty one and we have to make the presentation is mrs sitarska from the bulgarian presidency	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2018032602.wav	0
3	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2018032602/004_2018032602.wav	75.65006802721088	3336168	103.70006802721089	4573173	003_2018032602	she see with i welcome so mrs astasca representing the bulgarian presidency ad also represented cosi chair who was unfortunately not able to be but us today so mrs task we are running about late sorry for this so wondering you could be concise om sure you can and perhaps give us a of five minute	she see with i welcome so mrs astasca representing the bulgarian presidency an also represented cosy chair who was unfortunately not able to be but us today so mrs task we are running about late sorry for this so wondering you could be concise om sure you can and perhaps give us a of five minute	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2018032602.wav	2
4	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2018032602/005_2018032602.wav	103.70009070294785	4573174	129.85009070294785	5726389	004_2018032602	ik de ten presentation ad then we will take some questions ad please mr president good after colleagues i will try to be as concise as possible having in mind wire scope of the activities that cause is performing annually	ik ten presentation and then we will take some questions please mr president good after colleagues i will try to be as concise as possible having in mind wire scope of the activities that cause is performing annually	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2018032602.wav	7
5	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2018032602/006_2018032602.wav	129.8501133786848	5726390	154.8001133786848	6826685	005_2018032602	de honourable members of parliament ladies and gentlemen it is a privilege for me to have the possibility to inform you in my capacity of chair of the cosi support group and deputy chair of cause itself about the proceedings of the standing committee on operational cooperation on internal security in my intervention today i would like to focus on two aspects main highlights of the report and overview of the current priorities	honourable members of parliament ladies and gentlemen it is a privilege for me to have the possibility to inform you in my capacity of chair of the cosy support group and deputy chair of cause itself about the proceedings of the standing committee on operational cooperation on internal security in my intervention today i would like to focus on two aspects main highlights of the report and overview of the current priorities	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2018032602.wav	4
6	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2018032602/007_2018032602.wav	154.80013605442176	6826686	171.45013605442176	7560951	006_2018032602	you have received the report and i do believe that everybody is quite familiar with the main outcomes and findings of this report so i will be quite short as regards general presentation of what is in the report itself	you have received the report and i do believe that everybody is quite familiar with the main outcomes and findings of this report so i will be quite short as regards general presentation of what is in the report itself	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2018032602.wav	0
7	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2018032602/008_2018032602.wav	171.45015873015873	7560952	191.40015873015872	8440747	007_2018032602	as you can see from the report a large number of issues related to the implementation of the renewed internal security strategy were high on the agenda of causes such as counter terrorism information exchange and interoperability the eu policy cycle for combating organised and serious international crime	as you can see from the report a large number of issues related to the implementation of the renewed internal security strategy were high on the agenda of causes such as counter terrorism information exchange and interoperability the eu policy cycle for combating organised and serious international crime	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2018032602.wav	0
8	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2018032602/009_2018032602.wav	191.4001814058957	8440748	212.9501814058957	9391103	008_2018032602	both the implementation of the cycle two thousand and fourteen two thousand and seventeen and the preparation of the new cycle two thousand and eight in two thousand and twenty one as well as improving the links between internal and external security the implementation of the renewed eu internal security strategy was recurrent team during the period of the report	both the implementation of the cycle two thousand and fourteen two thousand and seventeen and the preparation of the new cycle two thousand and eight in two thousand and twenty one as well as improving the links between internal and external security the implementation of the renewed eu internal security strategy was recurrent team during the period of the report	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2018032602.wav	0
9	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2018032602/010_2018032602.wav	212.95020408163265	9391104	232.80020408163264	10266489	009_2018032602	cosi monitored in close cooperation with the commission upon receiving input from the member states the progress in putting into practice the above mentioned implementation documents furthermore cause we also started discussions on the midterm review of the renewed iss bot on the content and process as regards terrorism	causing monitored in close cooperation with the commission upon receiving input from the member states the progress in putting into practice the above mentioned implementation documents furthermore cause we also started discussions on the midterm review of the renewed iss bot on the content and process as regards terrorism	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2018032602.wav	4
10	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2018032602/011_2018032602.wav	232.80022675736961	10266490	253.55022675736961	11181565	010_2018032602	several counterterrorism measures remained a priority issuing the cosy proceedings cause i continued to monitor the implementation of the operational measures of the council conclusions on counter terrorism up twenty november two thousand and fifteen and the european council conclusions of seventeen and eighteen december two thousand and fifteen	several counterterrorism measures remained a priority issuing the cosy proceedings cause i continued to monitor the implementation of the operational measures of the council conclusions on counter terrorism up twenty november two thousand and fifteen and the european council conclusions of seventeen and eighteen december two thousand and fifteen	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2018032602.wav	0
11	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2018032602/012_2018032602.wav	253.5502494331066	11181566	271.30024943310656	11964341	011_2018032602	the terror attacks had highlighted some areas in the eu internal security architecture which had to be addressed as a matter of priority as an example i can give information management and the need to improve the interoperability between information systems for border control and security	the terror attacks had highlighted some areas in the eus internal security architecture which had to be addressed as a matter of priority as an example i can give information management and the need to improve the interoperability between information systems for border control and security	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2018032602.wav	1
12	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2018032602/013_2018032602.wav	271.30027210884356	11964342	293.25027210884355	12932337	012_2018032602	therefore enhancing information exchange and information management was considered crucial and following preparatory working cause the council at its meetings of ninety june two thousand and sixteen endorse the roadmap to enhance information exchange and information management including interoperability solutions in the justice and home affairs area	therefore enhancing information exchange and information management was considered crucial and following preparatory working cause the council at its meetings of ninety june two thousand and sixteen endorse the roadmap to enhance information exchange and information management including interoperability solutions in the justice and home affairs area	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2018032602.wav	0
13	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2018032602/014_2018032602.wav	293.2502947845805	12932338	309.3002947845805	13640143	013_2018032602	moreover at the last g council eight and nine march this year the ministers reiterated the great importance they attached to the interoperability of the eu information systems within the remits of the current legislative proposals that we have on the table	moreover at the last g council eight and nine march this year the ministers reiterated the great importance they attached to the interoperability of the eu information systems within the remits of the current legislative proposals that we have on the table	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2018032602.wav	0
14	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2018032602/015_2018032602.wav	309.30031746031744	13640144	326.4503174603175	14396459	014_2018032602	cause he also monitor the progress in the implementation of the fore mentioned roadmap and has tasked several different issues to be further export at expert level mainly within the remits of the terrorism working party and she sirene working party	cause he also monitor the progress in the implementation of the fore mentioned roadmap and has tasked several different issues to be further export at expert level mainly within the remits of the terrorism working party and she sirene working party	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2018032602.wav	0
15	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2018032602/016_2018032602.wav	326.4503401360544	14396460	345.30034013605444	15227745	015_2018032602	the discussions on the development of a structured and multidisciplinary approach on counter terrorism in resulted in the creation of a master document covering the most relevant counter terrorism actions this document was inserted in the six month reporting of the implementation of the renewed is	the discussions on the development of a structured and multidisciplinary approach on counter terrorism in resulted in the creation of a master document covering the most relevant counter terrorism actions this document was inserted in the six month reporting of the implementation of the renewed is	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2018032602.wav	0
16	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2018032602/017_2018032602.wav	345.3003628117914	15227746	365.1503628117914	16103131	016_2018032602	in this context because he also discussed strengthening the cooperation on counterterrorism threatanalismsifyouculsoodornjtforlaterporterskesidenagosloly and sorry for de ritem	in this context because he also discussed strengthening the cooperation on counterterrorism threatanalismsifyouculsoodornjtforlaterporterskesidenagosloly and sorry for theritem	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2018032602.wav	3
17	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2018032602/018_2018032602.wav	365.15038548752835	16103132	384.70038548752837	16965287	017_2018032602	on strengthening the cooperation on counterterrorism tread analysis cosi has exported several options in order to find a comprehensive and future oriented threat assessment picture to be submitted by the respective preparatory bodies	on strengthening the cooperation on counterterrorism tread analysis cosy has exported several options in order to find a comprehensive and future oriented threat assessment picture to be submitted by the respective preparatory bodies	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2018032602.wav	1
18	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2018032602/019_2018032602.wav	384.7004081632653	16965288	413.55040816326533	18237573	018_2018032602	this threat assessment consist of europol resports and eu ad future oriented threat assessments on terrorism together with a set of conclusions and policy recommendations which would be prepared where appropriate by the presidency and terrorism working party in cooperation with the member states the eu counter terrorism coordinator the commission the eeas and then submitted for approval to case it	this threat assessment consist of europol resports and eu in future oriented threat assessments on terrorism together with a set of conclusions and policy recommendations which would be prepared where appropriate by the presidency and terrorism working party in cooperation with the member states the eu counter terrorism coordinator the commission the eeas and then submitted for approval to case it	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2018032602.wav	2
19	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2018032602/020_2018032602.wav	413.5504308390023	18237574	440.3004308390023	19417249	019_2018032602	as regards the eu policy cycle the period covering the year two thousand and sixteen and the first semester of two thousand and seventeen was a challenging one as many activities pertaining to the implementation of the two thousand and fourteen two thousand and seventeen cycle and the preparation of the upcoming new policy cycle to cover the years two thousand and eight in two thousand and twenty one were taking place	as regards the eu policy cycle the period covering the year two thousand and sixteen and the first semester of two thousand and seventeen was a challenging one as many activities pertaining to the implementation of the two thousand and fourteen two thousand and seventeen cycle and the preparation of the upcoming new policy cycle to cover the years two thousand and eight in two thousand and twenty one were taking place	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2018032602.wav	0
20	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2018032602/021_2018032602.wav	440.3004535147392	19417250	469.85045351473923	20720405	020_2018032602	cause continued playing its certeintral role in steering the eu policy cycle process the committee monitored every six months the implementation of the fully fledged two thousand and forty two thousand and seventeen policy cycle and on the basis of drivers report the national impact coordinators meeting reports and the findings contained in the europos report clausy put recommendations in order to streamline and consolidate the work than there	cause continued playing its certeintral role in steering the eu policy cycle process the committee monitored every six months the implementation of the fully fledged two thousand and forty two thousand and seventeen policy cycle and on the basis of drivers report the national impact coordinators meeting reports and the findings contained in the europos report clausy put recommendations in order to streamline and consolidate the work than there	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2018032602.wav	0
21	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2018032602/022_2018032602.wav	469.8504761904762	20720406	498.6004761904762	21988281	021_2018032602	in the framework the eu policy cycle another thing to be highlighted here is the performance of joint action days during the recent years what of work has been done in order to streamline and improve the efficiency of these joint action days that are performed by the member states in coordination with europe	in the framework the eu policy cycle another thing to be highlighted here is the performance of joint action days during the recent years what of work has been done in order to streamline and improve the efficiency of these joint action days that are performed by the member states in coordination with europol	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2018032602.wav	2
22	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2018032602/023_2018032602.wav	498.6004988662132	21988282	521.8504988662131	23013607	022_2018032602	if i can give ana successful example in this regard i can easily point out the carried out in june two thousand and seventeen the global airport action day which is a world while wide operational action to tackle froudiland online purchases of white tickets using compromise or stolen credit card data	if i can give an successful example in this regard i can easily point out the carried out in june two thousand and seventeen the global airport action day which is a world while wide operational action to tackle froudiland online purchases of white tickets using compromise or stolen credit card data	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2018032602.wav	1
23	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2018032602/024_2018032602.wav	521.8505215419501	23013608	543.8005215419502	23981603	023_2018032602	this joint action days in two thousand and seventeen resulted in one hundred and fifty three suspects being detained denied boarding en or charged three hundred and twelve suspicious transactions being reported and multiple links to other crimes being identified	this joint action days in two thousand and seventeen resulted in one hundred and fifty three suspects being detained denied boarding en or charged three hundred and twelve suspicious transactions being reported and multiple links to other crimes being identified	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2018032602.wav	0
24	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2018032602/025_2018032602.wav	543.800544217687	23981604	571.550544217687	25205379	024_2018032602	cause provided annually strategic guidance to the planning of this joint action days and was regularly updated by europol on the state of play of the planning and the implementation of all joint action days in two thousand and sixteen cause also agreed on the definition of the joint action days which improved the performance of the joint action days in two thousand and seventeen	cause provided annually strategic guidance to the planning of this joint action days and was regularly updated by europol on the state of play of the planning and the implementation of all joint action days in two thousand and sixteen cause also agreed on the definition of the joint action days which improved the performance of the joint action days in two thousand and seventeen	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2018032602.wav	0
25	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2018032602/026_2018032602.wav	571.550566893424	25205380	594.300566893424	26208655	025_2018032602	cause eu also played a significant role in providing strategic guidance on funding issue and in particular on the decision regarding the distribution and prioritisation of allocated funds among the priority issues you familiar from the report that an evaluation from an independent	cause i also played a significant role in providing strategic guidance on funding issue and in particular on the decision regarding the distribution and prioritisation of allocated funds among the priority issues you familiar from the report that an evaluation from an independent	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2018032602.wav	2
26	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2018032602/027_2018032602.wav	594.300589569161	26208656	615.050589569161	27123731	026_2018032602	party has been performed in two thousand and seven and the findings of these evaluations have been used in order to establish the new policy cycle to cover the next programme period two thousand and eight in two thousand and twenty one	party has been performed in two thousand and seven and the findings of these evaluations have been used in order to establish the new policy cycle to cover the next programme period two thousand and eight in two thousand and twenty one	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2018032602.wav	0
27	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2018032602/028_2018032602.wav	615.0506122448979	27123732	634.900612244898	27999117	027_2018032602	the process of identifieding the eu crime priorities for two thousand and eighteen two thousand and twenty one started in cause in march two thousand and seventeen when the committed took note of the eu serious and organised crime threat assessment the so called socktem as presented by europol	the process of identifieding the eu crime priorities for two thousand and eighteen two thousand and twenty one started in cause in march two thousand and seventeen when the committed took note of the eu serious and organised crime threat assessment the so called socktem as presented by europol	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2018032602.wav	0
28	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2018032602/029_2018032602.wav	634.900634920635	27999118	663.5506349206349	29262583	028_2018032602	subsequently on the basis of the eu socter and taking into consideration other strategic papers assessments and policies cosi agreed on the following ten eu crime priorities for the cycle cybercrime drugs trafficking illegal immigration organised property crime trafficking ing human beings excise fraud and missing trader intercommunity fraud fire arms trafficking	subsequently on the basis of the eu socter and taking into consideration other strategic papers assessments and policies cause agreed on the following ten eu crime priorities for the cycle cybercrime drugs trafficking illegal immigration organised property crime trafficking ing human beings excise fraud and missing trader intercommunity fraud fire arms trafficking	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2018032602.wav	3
29	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2018032602/030_2018032602.wav	663.5506575963719	29262584	681.0006575963719	30032129	029_2018032602	environmental crime criminal financing and document fraud the council adopted council conclusions on setting these eu priorities for the two thousand and eight in two thousand and twenty one policy cycle in may two thousand and seventeen	environmental crime criminal financing and document fraud the council adopted council conclusions on setting these eu priorities for the two thousand and eight in two thousand and twenty one policy cycle in may two thousand and seventeen	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2018032602.wav	0
